rid,current_station,current_delay,date_of_service,final_delay
202401088901167,WEY,-1.0,2024-01-08,
202401088901172,WEY,-1.0,2024-01-08,14.0
202401088901182,WEY,0.0,2024-01-08,13.0
202401088901187,WEY,-1.0,2024-01-08,1.0
202401088901192,WEY,-2.0,2024-01-08,0.0
202401088901197,WEY,-1.0,2024-01-08,-1.0
202401088901203,WEY,0.0,2024-01-08,-1.0
202401088901211,WEY,0.0,2024-01-08,-2.0
202401097622346,WEY,-1.0,2024-01-09,1.0
202401098901078,WEY,-1.0,2024-01-09,7.0
202401098901080,WEY,-1.0,2024-01-09,0.0
202401098901083,WEY,1.0,2024-01-09,-1.0
202401098901086,WEY,0.0,2024-01-09,-2.0
202401098901090,WEY,-1.0,2024-01-09,-1.0
202401098901095,WEY,0.0,2024-01-09,-2.0
202401098901099,WEY,0.0,2024-01-09,0.0
202401098901104,WEY,0.0,2024-01-09,8.0
202401098901108,WEY,0.0,2024-01-09,0.0
202401098901113,WEY,0.0,2024-01-09,0.0
202401098901118,WEY,0.0,2024-01-09,-3.0
202401098901123,WEY,0.0,2024-01-09,-1.0
202401098901132,WEY,0.0,2024-01-09,-1.0
202401098901147,WEY,-1.0,2024-01-09,2.0
202401098901152,WEY,-1.0,2024-01-09,18.0
202401098901157,WEY,-1.0,2024-01-09,3.0
202401098901162,WEY,-1.0,2024-01-09,1.0
202401098901167,WEY,-1.0,2024-01-09,2.0
202401098901172,WEY,-1.0,2024-01-09,4.0
202401098901182,WEY,-1.0,2024-01-09,10.0
202401098901187,WEY,-1.0,2024-01-09,5.0
202401098901192,WEY,-1.0,2024-01-09,2.0
202401098901197,WEY,-1.0,2024-01-09,-4.0
202401098901203,WEY,0.0,2024-01-09,-1.0
202401098901211,WEY,-1.0,2024-01-09,-3.0
202401107622346,WEY,-1.0,2024-01-10,2.0
202401108901078,WEY,-1.0,2024-01-10,1.0
202401108901080,WEY,1.0,2024-01-10,0.0
202401108901083,WEY,0.0,2024-01-10,0.0
202401108901086,WEY,0.0,2024-01-10,-2.0
202401108901090,WEY,0.0,2024-01-10,-2.0
202401108901095,WEY,-1.0,2024-01-10,1.0
202401108901099,WEY,0.0,2024-01-10,0.0
202401108901104,WEY,0.0,2024-01-10,0.0
202401108901108,WEY,0.0,2024-01-10,-2.0
202401108901113,WEY,1.0,2024-01-10,1.0
202401108901118,WEY,2.0,2024-01-10,-3.0
202401108901123,WEY,0.0,2024-01-10,-3.0
202401108901132,WEY,-1.0,2024-01-10,2.0
202401108901147,WEY,-1.0,2024-01-10,6.0
202401108901152,WEY,-1.0,2024-01-10,1.0
202401108901157,WEY,0.0,2024-01-10,1.0
202401108901162,WEY,-1.0,2024-01-10,0.0
202401108901167,WEY,-1.0,2024-01-10,3.0
202401108901172,WEY,-1.0,2024-01-10,-1.0
202401108901182,WEY,-1.0,2024-01-10,0.0
202401108901187,WEY,-1.0,2024-01-10,6.0
202401108901192,WEY,-1.0,2024-01-10,1.0
202401108901197,WEY,0.0,2024-01-10,-1.0
202401108901203,WEY,-1.0,2024-01-10,0.0
202401108901211,WEY,-1.0,2024-01-10,-2.0
202401117622346,WEY,-1.0,2024-01-11,17.0
202401118901078,WEY,0.0,2024-01-11,2.0
202401118901080,WEY,0.0,2024-01-11,0.0
202401118901083,WEY,0.0,2024-01-11,1.0
202401118901086,WEY,0.0,2024-01-11,-5.0
202401118901090,WEY,0.0,2024-01-11,-2.0
202401118901095,WEY,0.0,2024-01-11,13.0
202401118901099,WEY,0.0,2024-01-11,3.0
202401118901104,WEY,0.0,2024-01-11,19.0
202401118901108,WEY,0.0,2024-01-11,16.0
202401118901113,WEY,0.0,2024-01-11,12.0
202401118901118,WEY,1.0,2024-01-11,-2.0
202401118901123,WEY,0.0,2024-01-11,-1.0
202401118901132,WEY,0.0,2024-01-11,16.0
202401118901147,WEY,-1.0,2024-01-11,4.0
202401118901152,WEY,-1.0,2024-01-11,8.0
202401118901157,WEY,-1.0,2024-01-11,3.0
202401118901162,WEY,0.0,2024-01-11,1.0
202401118901167,WEY,-1.0,2024-01-11,8.0
202401118901172,WEY,0.0,2024-01-11,4.0
202401118901182,WEY,0.0,2024-01-11,16.0
202401118901187,WEY,-1.0,2024-01-11,15.0
202401118901192,WEY,-1.0,2024-01-11,14.0
202401118901197,WEY,0.0,2024-01-11,-1.0
202401118901203,WEY,-1.0,2024-01-11,-1.0
202401118901211,WEY,-1.0,2024-01-11,2.0
202401127622346,WEY,1.0,2024-01-12,-1.0
202401128901078,WEY,0.0,2024-01-12,7.0
202401128901080,WEY,0.0,2024-01-12,-4.0
202401128901083,WEY,0.0,2024-01-12,-2.0
202401128901086,WEY,0.0,2024-01-12,1.0
202401128901090,WEY,0.0,2024-01-12,-5.0
202401128901095,WEY,-1.0,2024-01-12,1.0
202401128901099,WEY,14.0,2024-01-12,16.0
202401128901104,WEY,-1.0,2024-01-12,3.0
202401128901108,WEY,0.0,2024-01-12,2.0
202401128901113,WEY,0.0,2024-01-12,-2.0
202401128901118,WEY,0.0,2024-01-12,-1.0
202401128901123,WEY,0.0,2024-01-12,-3.0
202401128901131,WEY,0.0,2024-01-12,-1.0
202401128901147,WEY,-1.0,2024-01-12,2.0
202401128901152,WEY,-1.0,2024-01-12,14.0
202401128901157,WEY,-1.0,2024-01-12,1.0
202401128901162,WEY,0.0,2024-01-12,1.0
202401128901167,WEY,-1.0,2024-01-12,3.0
202401128901172,WEY,-1.0,2024-01-12,4.0
202401128901182,WEY,-1.0,2024-01-12,3.0
202401128901187,WEY,-1.0,2024-01-12,9.0
202401128901192,WEY,-1.0,2024-01-12,12.0
202401128901197,WEY,1.0,2024-01-12,-1.0
202401128901202,WEY,0.0,2024-01-12,9.0
202401128901210,WEY,-1.0,2024-01-12,0.0
202401137622389,WEY,-1.0,2024-01-13,3.0
202401138901079,WEY,0.0,2024-01-13,2.0
202401138901081,WEY,0.0,2024-01-13,1.0
202401138901084,WEY,0.0,2024-01-13,3.0
202401138901087,WEY,-1.0,2024-01-13,3.0
202401138901091,WEY,0.0,2024-01-13,1.0
202401138901096,WEY,0.0,2024-01-13,4.0
202401138901100,WEY,0.0,2024-01-13,2.0
202401138901105,WEY,0.0,2024-01-13,3.0
202401138901109,WEY,0.0,2024-01-13,3.0
202401138901114,WEY,-1.0,2024-01-13,2.0
202401138901119,WEY,0.0,2024-01-13,11.0
202401138901124,WEY,0.0,2024-01-13,13.0
202401138901212,WEY,-1.0,2024-01-13,-3.0
202401138901229,WEY,0.0,2024-01-13,15.0
202401138901231,WEY,-1.0,2024-01-13,1.0
202401148901115,WEY,0.0,2024-01-14,4.0
202401148901125,WEY,-1.0,2024-01-14,0.0
202401148901133,WEY,0.0,2024-01-14,2.0
202401148901137,WEY,-1.0,2024-01-14,1.0
202401148901139,WEY,-1.0,2024-01-14,1.0
202401148901142,WEY,-1.0,2024-01-14,0.0
202401148901149,WEY,0.0,2024-01-14,0.0
202401148901159,WEY,-1.0,2024-01-14,3.0
202401148901169,WEY,-1.0,2024-01-14,3.0
202401148901179,WEY,0.0,2024-01-14,0.0
202401148901189,WEY,-1.0,2024-01-14,26.0
202401148901199,WEY,-1.0,2024-01-14,1.0
202401148901207,WEY,0.0,2024-01-14,0.0
202401148901215,WEY,-1.0,2024-01-14,-1.0
202401157622346,WEY,-1.0,2024-01-15,-1.0
202401158901078,WEY,0.0,2024-01-15,16.0
202401158901080,WEY,0.0,2024-01-15,
202401158901083,WEY,0.0,2024-01-15,2.0
202401158901086,WEY,1.0,2024-01-15,-2.0
202401158901090,WEY,1.0,2024-01-15,2.0
202401158901095,WEY,0.0,2024-01-15,5.0
202401158901099,WEY,0.0,2024-01-15,-1.0
202401158901104,WEY,0.0,2024-01-15,-1.0
202401158901108,WEY,0.0,2024-01-15,7.0
202401158901113,WEY,1.0,2024-01-15,5.0
202401158901118,WEY,0.0,2024-01-15,9.0
202401158901123,WEY,13.0,2024-01-15,14.0
202401158901132,WEY,14.0,2024-01-15,0.0
202401158901147,WEY,-1.0,2024-01-15,5.0
202401158901152,WEY,-1.0,2024-01-15,
202401158901157,WEY,0.0,2024-01-15,18.0
202401158901162,WEY,-2.0,2024-01-15,1.0
202401158901167,WEY,-2.0,2024-01-15,3.0
202401158901172,WEY,-1.0,2024-01-15,4.0
202401158901182,WEY,-1.0,2024-01-15,6.0
202401158901187,WEY,-1.0,2024-01-15,15.0
202401158901192,WEY,1.0,2024-01-15,26.0
202401158901197,WEY,7.0,2024-01-15,0.0
202401158901203,WEY,6.0,2024-01-15,0.0
202401158901211,WEY,7.0,2024-01-15,-3.0
202401167622346,WEY,-1.0,2024-01-16,-1.0
202401168901078,WEY,-1.0,2024-01-16,1.0
202401168901080,WEY,0.0,2024-01-16,1.0
202401168901083,WEY,-1.0,2024-01-16,3.0
202401168901086,WEY,1.0,2024-01-16,7.0
202401168901090,WEY,0.0,2024-01-16,3.0
202401168901095,WEY,-1.0,2024-01-16,-1.0
202401168901099,WEY,0.0,2024-01-16,-1.0
202401168901104,WEY,0.0,2024-01-16,-2.0
202401168901108,WEY,-1.0,2024-01-16,6.0
202401168901113,WEY,0.0,2024-01-16,0.0
202401168901118,WEY,-1.0,2024-01-16,-2.0
202401168901123,WEY,1.0,2024-01-16,1.0
202401168901132,WEY,2.0,2024-01-16,3.0
202401168901147,WEY,-1.0,2024-01-16,6.0
202401168901152,WEY,-1.0,2024-01-16,2.0
202401168901157,WEY,-1.0,2024-01-16,5.0
202401168901162,WEY,1.0,2024-01-16,14.0
202401168901167,WEY,-1.0,2024-01-16,2.0
202401168901172,WEY,-1.0,2024-01-16,3.0
202401168901182,WEY,-1.0,2024-01-16,4.0
202401168901187,WEY,-1.0,2024-01-16,6.0
202401168901192,WEY,0.0,2024-01-16,1.0
202401168901197,WEY,-1.0,2024-01-16,0.0
202401168901203,WEY,0.0,2024-01-16,1.0
202401168901211,WEY,0.0,2024-01-16,-3.0
202401177622346,WEY,-1.0,2024-01-17,2.0
202401178901078,WEY,-1.0,2024-01-17,6.0
202401178901080,WEY,1.0,2024-01-17,5.0
202401178901083,WEY,-1.0,2024-01-17,-3.0
202401178901086,WEY,0.0,2024-01-17,-3.0
202401178901090,WEY,0.0,2024-01-17,-5.0
202401178901095,WEY,-1.0,2024-01-17,-1.0
202401178901099,WEY,0.0,2024-01-17,-1.0
202401178901104,WEY,0.0,2024-01-17,-1.0
202401178901108,WEY,4.0,2024-01-17,0.0
202401178901113,WEY,1.0,2024-01-17,-2.0
202401178901118,WEY,1.0,2024-01-17,1.0
202401178901123,WEY,0.0,2024-01-17,-6.0
202401178901132,WEY,1.0,2024-01-17,-2.0
202401178901147,WEY,-1.0,2024-01-17,5.0
202401178901152,WEY,-1.0,2024-01-17,2.0
202401178901157,WEY,-1.0,2024-01-17,5.0
202401178901162,WEY,-1.0,2024-01-17,5.0
202401178901167,WEY,-1.0,2024-01-17,8.0
202401178901172,WEY,-1.0,2024-01-17,2.0
202401178901182,WEY,0.0,2024-01-17,3.0
202401178901187,WEY,-1.0,2024-01-17,0.0
202401178901192,WEY,-1.0,2024-01-17,9.0
202401178901197,WEY,-1.0,2024-01-17,-6.0
202401178901203,WEY,-1.0,2024-01-17,-1.0
202401178901211,WEY,-1.0,2024-01-17,0.0
202401187622346,WEY,2.0,2024-01-18,2.0
202401188901078,WEY,0.0,2024-01-18,-3.0
202401188901080,WEY,0.0,2024-01-18,27.0
202401188901083,WEY,0.0,2024-01-18,-2.0
202401188901086,WEY,2.0,2024-01-18,-4.0
202401188901090,WEY,0.0,2024-01-18,3.0
202401188901095,WEY,-1.0,2024-01-18,1.0
202401188901099,WEY,1.0,2024-01-18,1.0
202401188901104,WEY,0.0,2024-01-18,-1.0
202401188901108,WEY,1.0,2024-01-18,5.0
202401188901113,WEY,7.0,2024-01-18,0.0
202401188901118,WEY,-1.0,2024-01-18,-1.0
202401188901123,WEY,-1.0,2024-01-18,1.0
202401188901132,WEY,1.0,2024-01-18,3.0
202401188901147,WEY,-1.0,2024-01-18,15.0
202401188901152,WEY,0.0,2024-01-18,7.0
202401188901157,WEY,-1.0,2024-01-18,3.0
202401188901162,WEY,-1.0,2024-01-18,6.0
202401188901167,WEY,0.0,2024-01-18,-2.0
202401188901172,WEY,0.0,2024-01-18,3.0
202401188901182,WEY,-1.0,2024-01-18,1.0
202401188901187,WEY,-1.0,2024-01-18,8.0
202401188901192,WEY,-1.0,2024-01-18,-1.0
202401188901197,WEY,-1.0,2024-01-18,-6.0
202401188901203,WEY,0.0,2024-01-18,-2.0
202401188901211,WEY,-1.0,2024-01-18,-1.0
202401197622346,WEY,-1.0,2024-01-19,11.0
202401198901078,WEY,-1.0,2024-01-19,16.0
202401198901080,WEY,3.0,2024-01-19,1.0
202401198901083,WEY,0.0,2024-01-19,-6.0
202401198901086,WEY,2.0,2024-01-19,6.0
202401198901090,WEY,0.0,2024-01-19,4.0
202401198901095,WEY,1.0,2024-01-19,2.0
202401198901099,WEY,1.0,2024-01-19,5.0
202401198901104,WEY,0.0,2024-01-19,6.0
202401198901108,WEY,0.0,2024-01-19,2.0
202401198901113,WEY,-1.0,2024-01-19,-2.0
202401198901118,WEY,1.0,2024-01-19,1.0
202401198901123,WEY,0.0,2024-01-19,3.0
202401198901131,WEY,2.0,2024-01-19,0.0
202401198901147,WEY,0.0,2024-01-19,12.0
202401198901152,WEY,-1.0,2024-01-19,3.0
202401198901157,WEY,-1.0,2024-01-19,3.0
202401198901162,WEY,0.0,2024-01-19,1.0
202401198901167,WEY,20.0,2024-01-19,20.0
202401198901172,WEY,-1.0,2024-01-19,0.0
202401198901182,WEY,-1.0,2024-01-19,15.0
202401198901187,WEY,-1.0,2024-01-19,9.0
202401198901192,WEY,0.0,2024-01-19,3.0
202401198901197,WEY,-2.0,2024-01-19,-1.0
202401198901202,WEY,0.0,2024-01-19,2.0
202401198901210,WEY,-1.0,2024-01-19,2.0
202401207622389,WEY,-1.0,2024-01-20,-2.0
202401208901079,WEY,-1.0,2024-01-20,-3.0
202401208901081,WEY,0.0,2024-01-20,10.0
202401208901084,WEY,0.0,2024-01-20,-3.0
202401208901087,WEY,-1.0,2024-01-20,13.0
202401208901091,WEY,0.0,2024-01-20,2.0
202401208901096,WEY,-1.0,2024-01-20,-3.0
202401208901105,WEY,0.0,2024-01-20,18.0
202401208901109,WEY,0.0,2024-01-20,-1.0
202401208901114,WEY,0.0,2024-01-20,3.0
202401208901119,WEY,0.0,2024-01-20,-3.0
202401208901124,WEY,0.0,2024-01-20,0.0
202401208901141,WEY,-1.0,2024-01-20,7.0
202401208901143,WEY,-1.0,2024-01-20,0.0
202401208901148,WEY,-1.0,2024-01-20,3.0
202401208901153,WEY,-1.0,2024-01-20,-6.0
202401208901158,WEY,-1.0,2024-01-20,0.0
202401208901163,WEY,-1.0,2024-01-20,12.0
202401208901168,WEY,-1.0,2024-01-20,1.0
202401208901173,WEY,-1.0,2024-01-20,-2.0
202401208901178,WEY,-1.0,2024-01-20,1.0
202401208901183,WEY,-1.0,2024-01-20,7.0
202401208901188,WEY,-1.0,2024-01-20,3.0
202401208901193,WEY,-1.0,2024-01-20,3.0
202401208901198,WEY,-1.0,2024-01-20,-3.0
202401208901204,WEY,-1.0,2024-01-20,-2.0
202401208901212,WEY,-1.0,2024-01-20,-1.0
202401208901229,WEY,-1.0,2024-01-20,-1.0
202401208901231,WEY,-1.0,2024-01-20,0.0
202401218901125,WEY,-1.0,2024-01-21,15.0
202401218901133,WEY,-1.0,2024-01-21,10.0
202401218901137,WEY,-1.0,2024-01-21,10.0
202401218901139,WEY,-1.0,2024-01-21,-1.0
202401218901142,WEY,-1.0,2024-01-21,-1.0
202401218901149,WEY,2.0,2024-01-21,-1.0
202401218901159,WEY,3.0,2024-01-21,6.0
202401218901169,WEY,-1.0,2024-01-21,
202401218901179,WEY,-1.0,2024-01-21,
202401218901189,WEY,0.0,2024-01-21,
202401218901199,WEY,0.0,2024-01-21,
202401218901207,WEY,-1.0,2024-01-21,-1377.0
202401218901215,WEY,3.0,2024-01-21,12.0
202401228901078,WEY,0.0,2024-01-22,2.0
202401228901080,WEY,-1.0,2024-01-22,24.0
202401228901083,WEY,-1.0,2024-01-22,6.0
202401228901086,WEY,1.0,2024-01-22,-1.0
202401228901090,WEY,-1.0,2024-01-22,
202401228901095,WEY,0.0,2024-01-22,23.0
202401228901123,WEY,,2024-01-22,
202401228901147,WEY,-1.0,2024-01-22,9.0
202401228901152,WEY,0.0,2024-01-22,17.0
202401228901157,WEY,-1.0,2024-01-22,1.0
202401228901162,WEY,-1.0,2024-01-22,1.0
202401228901167,WEY,1.0,2024-01-22,3.0
202401237622346,WEY,-1.0,2024-01-23,0.0
202401238901078,WEY,0.0,2024-01-23,4.0
202401238901080,WEY,0.0,2024-01-23,-3.0
202401238901083,WEY,0.0,2024-01-23,-1.0
202401238901086,WEY,1.0,2024-01-23,10.0
202401238901090,WEY,0.0,2024-01-23,-4.0
202401238901095,WEY,1.0,2024-01-23,-5.0
202401238901099,WEY,-1.0,2024-01-23,1.0
202401238901104,WEY,0.0,2024-01-23,-5.0
202401238901108,WEY,0.0,2024-01-23,-4.0
202401238901113,WEY,0.0,2024-01-23,2.0
202401238901118,WEY,-1.0,2024-01-23,-2.0
202401238901123,WEY,0.0,2024-01-23,-1.0
202401238901132,WEY,0.0,2024-01-23,5.0
202401238901147,WEY,-1.0,2024-01-23,1.0
202401238901152,WEY,-1.0,2024-01-23,14.0
202401238901157,WEY,-1.0,2024-01-23,1.0
202401238901162,WEY,-1.0,2024-01-23,1.0
202401238901167,WEY,-1.0,2024-01-23,0.0
202401238901172,WEY,-1.0,2024-01-23,1.0
202401238901182,WEY,-1.0,2024-01-23,-2.0
202401238901187,WEY,0.0,2024-01-23,4.0
202401238901192,WEY,0.0,2024-01-23,4.0
202401238901197,WEY,-2.0,2024-01-23,-1.0
202401238901203,WEY,-1.0,2024-01-23,-2.0
202401238901211,WEY,-1.0,2024-01-23,7.0
202401247622346,WEY,-1.0,2024-01-24,2.0
202401248901090,WEY,0.0,2024-01-24,-2.0
202401248901095,WEY,-1.0,2024-01-24,-1.0
202401248901099,WEY,0.0,2024-01-24,8.0
202401248901104,WEY,-1.0,2024-01-24,-4.0
202401248901108,WEY,1.0,2024-01-24,-2.0
202401248901113,WEY,0.0,2024-01-24,-2.0
202401248901118,WEY,0.0,2024-01-24,-1.0
202401248901123,WEY,-1.0,2024-01-24,1.0
202401248901132,WEY,-1.0,2024-01-24,1.0
202401248901162,WEY,0.0,2024-01-24,0.0
202401248901167,WEY,-1.0,2024-01-24,1.0
202401248901172,WEY,-1.0,2024-01-24,4.0
202401248901182,WEY,-1.0,2024-01-24,5.0
202401248901187,WEY,0.0,2024-01-24,-1.0
202401248901192,WEY,0.0,2024-01-24,4.0
202401248901197,WEY,1.0,2024-01-24,-3.0
202401248901203,WEY,-1.0,2024-01-24,5.0
202401248901211,WEY,-1.0,2024-01-24,-3.0
202401257622346,WEY,-1.0,2024-01-25,15.0
202401258901078,WEY,-1.0,2024-01-25,
202401258901080,WEY,1.0,2024-01-25,
202401258901083,WEY,53.0,2024-01-25,
202401258901086,WEY,,2024-01-25,
202401258901090,WEY,,2024-01-25,
202401258901095,WEY,11.0,2024-01-25,33.0
202401258901099,WEY,57.0,2024-01-25,61.0
202401258901104,WEY,,2024-01-25,
202401258901108,WEY,0.0,2024-01-25,13.0
202401258901113,WEY,-1.0,2024-01-25,9.0
202401258901118,WEY,0.0,2024-01-25,0.0
202401258901123,WEY,4.0,2024-01-25,-3.0
